car_model,price,year_model,kms
Ford Fiesta 1.6 Sportback,$48.000.000,2017,56.600
Ford Fiesta 1.6 Hatchback Mecánica,$29.800.000,2012,134.136
Ford Fiesta Ses 2013,$35.800.000,2013,96.594
Ford Fiesta TITANIUM  1600CC AT AA,$58.000.000,2018,42.000
Ford Fiesta 1.6 Sportback Automática,$28.900.000,2013,76.000
Ford Fiesta 1.6 Se Mecánico,$34.900.000,2014,51.600
Ford Fiesta 1.6 Sportback Se Automática,$40.000.000,2015,60.000
Ford  Fiesta Hb Se Cc 1600 Mecanico  Modelo 2018,$52.900.000,2018,48.550
Ford Fiesta 1.6 Sportback Se Mecánica,$35.900.000,2014,101.926
Ford Fiesta 1.6 Sportback Se Mecánica,$43.900.000,2015,67.711
Ford Fiesta Sedan,$39.000.000,2015,52.000
Ford Fiesta 1.6 MT SEDAN TITANIUM EL MAS FULL DIVINO VERLO ES COMPRARLO,$49.690.000,2018,53.300
Ford Fiesta 1.6 Titanium Atm,$54.000.000,2019,42.000
Ford Fiesta 1.6 Sportback Se Mecánica,$36.900.000,2015,53.573
Ford Fiesta 1.6 Titanium Mt,$43.000.000,2017,104.000
Ford Fiesta 1.6 Sportback Automática,$28.999.999,2013,81.043
Ford Fiesta Se 1.6 2017 Duo292,$44.400.000,2017,61.301
Ford  Nuevo Fiesta Sedán Se Cc 1600   Mecanico Modelo 2016,$43.900.000,2016,54.382
Ford Fiesta Ford  FIESTA SPORTBACK SE MT 1600CC 4P Modelo 2016,$44.500.000,2016,65.063
Ford Fiesta 1.6 Titanium At,$49.100.000,2017,42.671
Ford Fiesta 1.6 Titanium At,$44.900.000,2015,67.200
Ford  Fiesta Hb Se Cc 1600 Mt Modelo 2015,$41.900.000,2015,108.235
Ford Fiesta 1.6 Hatchback Titanium,$39.900.000,2015,56.000
Ford Fiesta 1.6 Hatchback Se,$42.900.000,2015,69.941
Ford Fiesta 1.6 Hatchback Titanium,$50.900.000,2018,50.000
Ford Fiesta 1.6 Titanium At,$43.900.000,2015,72.000
Ford Fiesta 1.6 Titanium At,$38.900.000,2014,97.168
Ford Fiesta 1.6 Sportback Se Mecánica,$34.900.000,2014,102.000
Ford Fiesta 1.6 Sportback Titanium,$38.990.000,2014,160.000
Ford Fiesta 1.6 Titanium At,$43.500.000,2015,72.000
Ford Fiesta 1.6 Sportback Titanium,$48.990.000,2018,64.500
Ford Fiesta 1.6 Hatchback Automática,$32.990.000,2013,100.479
Ford Fiesta Hatchback Se Mt,$43.900.000,2017,62.000
Ford Fiesta 1.6 Hatchback Se,$38.900.000,2015,89.600
Ford Fiesta 1.6 Hatchback St,$69.900.000,2018,36.000
Ford Fiesta 1.6 Se 2017,$48.900.000,2017,14.400
Ford Fiesta Se  1600cc Mt Aa,$38.000.000,2015,70.000
Ford Fiesta 46150,$32.990.000,2015,104.317
Ford Fiesta 1.6 Titanium At,$55.000.000,2015,21.825
Ford Fiesta Titanium 1.6cc AT AA,$40.000.000,2015,130.653
Ford Fiesta 1.6 Hatchback Se,$32.000.000,2014,80.000
Ford Fiesta 1.6 Hatchback Se,$35.990.000,2015,96.000
Ford Fiesta TITANIUM  1600CC AT AA,$39.500.000,2016,80.000
Ford Fiesta 1.6 Hatchback Se,$45.000.000,2016,60.000
Ford Fiesta 1.6 Hatchback Titanium,$46.000.000,2018,49.596
Ford Fiesta Se Aut,$34.500.000,2015,103.000
Ford Fiesta 1.6 Sportback Se Automática,$39.500.000,2015,63.000
Ford Fiesta 1.6 Sportback Se Automática,$39.900.000,2015,103.000
Ford Fiesta 1.6 Titanium Mt,$47.000.000,2017,54.000
Ford Fiesta Sportback Titanium MT,$43.700.000,2017,79.700
Ford Fiesta 1.6 Sportback Se Automática,$36.000.000,2014,63.426
Ford Fiesta 1.6 Sportback Se,$42.900.000,2017,41.000
Ford Fiesta 1.6 Titanium At,$54.500.000,2019,53.000
Ford Fiesta 1.6 Titanium At,$35.900.000,2014,94.000
Ford Fiesta 1.6 Titanium At,$37.900.000,2014,73.000
Ford Fiesta 1.6 Sportback Titanium,$49.000.000,2017,35.000
Ford Fiesta 1.6 Sportback Se Mecánica,$38.500.000,2015,98.000
Ford Fiesta 1.6 Hatchback Titanium,$37.500.000,2015,60.000
Ford Fiesta 1.6 Hatchback Mecánica,$30.000.000,2013,134.658
Ford Fiesta 1.6 2013 A/t,$31.000.000,2013,88.000
Ford Fiesta 1.6 Titanium At,$36.200.000,2015,71.000
Ford Fiesta Se Mecánico,$44.500.000,2017,73.100
Ford Fiesta 1.6 Sportback Titanium,$37.900.000,2015,85.000
Ford Fiesta 2019 Sportback Se Mecanico,$46.000.000,2019,52.000
Ford Fiesta 1.6 Sportback Titanium,$36.000.000,2014,100.000
Ford Fiesta 1.6 Hatchback Se,$42.000.000,2017,57.000
Ford Fiesta 1.6 Sportback Se Automática,$34.500.000,2015,79.829
Ford Fiesta 1.6 Sportback Titanium,$48.000.000,2016,42.000
Ford Fiesta Fiesta 1.6 Se Mec,$34.900.000,2014,67.000
Ford Fiesta 1.6 Titanium At,$46.000.000,2018,85.000
Ford Fiesta 1.6 Sportback Titanium,$40.000.000,2016,87.000
Ford Fiesta 1.6 Sportback Titanium,$41.500.000,2014,73.000
Ford Fiesta 1.6 Sportback Automática,$29.000.000,2013,90.000
Ford Fiesta 1.6 Titanium At,$39.900.000,2015,87.000
Ford Fiesta 1.6 Titanium At,$42.500.000,2016,64.400
Ford Fiesta 1.6 Sportback Mecánica,$34.000.000,2013,63.500
Ford Fiesta 1.6 Sportback Titanium,$41.900.000,2019,47.000
Ford Fiesta 1.6 Hatchback Se,$42.000.000,2015,61.000
Ford Fiesta 1.6 Sportback Titanium,$51.500.000,2018,56.000
Ford Fiesta 1.6 Hatchback Mecánica,$30.900.000,2013,80.000
Ford Fiesta 1.6 Titanium Mt,$50.000.000,2017,32.500
Ford Fiesta 1.6 Hatchback Titanium,$38.000.000,2014,103.000
